,ProcessedText,InformationType_coarse,ProcessedText_length,ProcessedText_BERT,ProcessedText_BERTbase_length,ProcessedText_BERTlarge_length,InformationType_label
779,"in addition, you could make your own schedule for completing the requirements of the course.",Premise,15,"[CLS] in addition, you could make your own schedule for completing the requirements of the course.",18,18,0
780,"in conclusion, if children take part in some kind of paid work with their parents' permission, they can learn lively lessons and become mature and responsible.",MajorClaim,26,"[CLS] in conclusion, if children take part in some kind of paid work with their parents' permission, they can learn lively lessons and become mature and responsible.",31,31,3
781,some people believe that nowadays the assitance from family is quite a essential factor in one's success.,None,17,[CLS] some people believe that nowadays the assitance from family is quite a essential factor in one's success.,23,23,2
782,"choice of course should be the discretion of the student and their merit, irrespective of the gender.",None,17,"[CLS] choice of course should be the discretion of the student and their merit, irrespective of the gender.",23,23,2
783,"take australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues.",Premise,32,"[CLS] take australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues.",35,35,0
784,"in the zoo they interact with each other and are able to relax and look at the animals, play with some of them, comment on their appearance and behavior, and laugh at their funny customs.",Premise,35,"[CLS] in the zoo they interact with each other and are able to relax and look at the animals, play with some of them, comment on their appearance and behavior, and laugh at their funny customs.",40,40,0
785,"besides, even if students believe that they are so brilliant to surpass their professors, they can still go to the classes to discuss with professors and classmates.",Premise,27,"[CLS] besides, even if students believe that they are so brilliant to surpass their professors, they can still go to the classes to discuss with professors and classmates.",32,32,0
786,"in our hectic life, however, demand is not for musically orientated students, but for academically developed employees.",Premise,17,"[CLS] in our hectic life, however, demand is not for musically orientated students, but for academically developed employees.",25,25,0
787,"if citizens had no access to health care and education, their physical health and psychological soundness would be at risk.",Premise,20,"[CLS] if citizens had no access to health care and education, their physical health and psychological soundness would be at risk.",24,24,0
788,"in addition, execution does not resolve the consequences of crime, not to mention it could put the criminal's family through hardship while the pain of the victim's kin is never to be consoled.",Premise,33,"[CLS] in addition, execution does not resolve the consequences of crime, not to mention it could put the criminal's family through hardship while the pain of the victim's kin is never to be consoled.",42,42,0
789,"so, with the stations increased people are willing to take a public transportation than drive on their own.",Premise,18,"[CLS] so, with the stations increased people are willing to take a public transportation than drive on their own.",21,21,0
790,"take google for example, the company offers recreation rooms and extra personal leaves for their workers to develop a more relaxing and supportive workforce.",Premise,24,"[CLS] take google for example, the company offers recreation rooms and extra personal leaves for their workers to develop a more relaxing and supportive workforce.",27,27,0
791,"if they do not cooperate, there will be lots of disputes.",Premise,11,"[CLS] if they do not cooperate, there will be lots of disputes.",14,14,0
792,"in today's world, computer is an essential part of everyday life.",None,11,"[CLS] in today's world, computer is an essential part of everyday life.",16,16,2
793,both genders are the fulcrum of the society and none of them is superior or inferior.,Premise,16,[CLS] both genders are the fulcrum of the society and none of them is superior or inferior.,21,21,0
794,most of them have to allocate the money if they doing other purchase.,Premise,13,[CLS] most of them have to allocate the money if they doing other purchase.,17,17,0
795,"in opposite situation if i am being rude, i can not get along well with each other.",Premise,17,"[CLS] in opposite situation if i am being rude, i can not get along well with each other.",20,20,0
796,"nevertheless, it would certainly be a violation of adults civil liberties, if governments implement such a restricted regulation on these tv shows or movies that only for mature audiences.",Claim,29,"[CLS] nevertheless, it would certainly be a violation of adults civil liberties, if governments implement such a restricted regulation on these tv shows or movies that only for mature audiences.",33,33,1
797,"there are many advantage of these invention, telephones and email.",None,10,"[CLS] there are many advantage of these invention, telephones and email.",14,14,2
798,"however, in my view, reading fiction is more enjoyable than watching movies for the following reasons.",MajorClaim,16,"[CLS] however, in my view, reading fiction is more enjoyable than watching movies for the following reasons.",20,20,3
799,"due to this neglect, they will have a bad result in school because when they can not live without internet, they will have no time for their studying.",Premise,28,"[CLS] due to this neglect, they will have a bad result in school because when they can not live without internet, they will have no time for their studying.",32,32,0
800,"cats and dogs are the most common pets but there are birds, tortoises and fishes as well.",None,17,"[CLS] cats and dogs are the most common pets but there are birds, tortoises and fishes as well.",22,22,2
801,"in conclusion, technology has brought many benefits, but traditional skills and ways are always valuable and will last forever.",MajorClaim,19,"[CLS] in conclusion, technology has brought many benefits, but traditional skills and ways are always valuable and will last forever.",23,23,3
802,"secondly, there are some drawbacks about this issue.",None,8,"[CLS] secondly, there are some drawbacks about this issue.",12,12,2
803,"with this kind of power big cities offer more opportunities for one's career advancements and a more chances of higher income that small towns does, and higher income can be the basis of a happier, healthier life.",Premise,37,"[CLS] with this kind of power big cities offer more opportunities for one's career advancements and a more chances of higher income that small towns does, and higher income can be the basis of a happier, healthier life.",45,45,0
804,"in general, the increase in the average age of human from 50 to around 75 years through last decades is a strong evidence to show how successful human was in medicine.",Claim,31,"[CLS] in general, the increase in the average age of human from 50 to around 75 years through last decades is a strong evidence to show how successful human was in medicine.",34,34,1
805,"in a word, although each of these methods have their pros and cons, i am pretty sure that advantages of learning language in the country in which is spoken outweigh the advantages of the other way of learning of a new language.",MajorClaim,42,"[CLS] in a word, although each of these methods have their pros and cons, i am pretty sure that advantages of learning language in the country in which is spoken outweigh the advantages of the other way of learning of a new language.",50,50,3
806,there are certain period of time for teachers to teach.,Premise,10,[CLS] there are certain period of time for teachers to teach.,12,12,0
807,they are mostly being educated at very early ages by family or schools as to distinguish what is benefit for them.,Premise,21,[CLS] they are mostly being educated at very early ages by family or schools as to distinguish what is benefit for them.,23,23,0
808,"some people believe that strictly and carefully presenting theories in the class is the best way of teaching, while others assert that involving applications on that theory will be more convincing.",None,31,"[CLS] some people believe that strictly and carefully presenting theories in the class is the best way of teaching, while others assert that involving applications on that theory will be more convincing.",34,34,2
809,"overall, it is easy to distinguish between a child having two languages and a child having just his native language while comparing their ability to communicate, understanding other studies, etc, to find that why children should start learning a foreign language in the beginning of the education.",MajorClaim,47,"[CLS] overall, it is easy to distinguish between a child having two languages and a child having just his native language while comparing their ability to communicate, understanding other studies, etc, to find that why children should start learning a foreign language in the beginning of the education.",53,53,3
810,capital punishment is necessary or not?,None,6,[CLS] capital punishment is necessary or not?,8,8,2
811,children who live in cities have a lot of entertainment.,Claim,10,[CLS] children who live in cities have a lot of entertainment.,12,12,1
812,"meanwhile, historic buildings can be a source of maintenance fees.",Claim,10,"[CLS] meanwhile, historic buildings can be a source of maintenance fees.",13,13,1
813,"financially, students can save a little money to support their university education by doing a job.",Premise,16,"[CLS] financially, students can save a little money to support their university education by doing a job.",19,19,0
814,one might think this is a piece of cake while other would consider it as immense project.,Premise,17,[CLS] one might think this is a piece of cake while other would consider it as immense project.,19,19,0
815,there are many instances that luck has brought people things that they never could even imagine.,None,16,[CLS] there are many instances that luck has brought people things that they never could even imagine.,18,18,2
816,biomedical engineers could make a significant effect on increasing life expectancy the world.,Premise,13,[CLS] biomedical engineers could make a significant effect on increasing life expectancy the world.,16,16,0
817,"therefore, it is not easy to influence young people these days when they are well equipped of life skills.",Claim,19,"[CLS] therefore, it is not easy to influence young people these days when they are well equipped of life skills.",22,22,1
818,television and movies nowadays contain a lot of advertisements.,None,9,[CLS] television and movies nowadays contain a lot of advertisements.,11,11,2
819,i think that no factor is important enough by itself to succeed in any situations.,None,15,[CLS] i think that no factor is important enough by itself to succeed in any situations.,17,17,2
820,and also taking the chance for making friends.,Premise,8,[CLS] and also taking the chance for making friends.,10,10,0
821,this unfortunate event proves that no matter how much careful we are such accidents are inevitable.,Premise,16,[CLS] this unfortunate event proves that no matter how much careful we are such accidents are inevitable.,18,18,0
822,"in the first place, humans are a part of the society, and the society includes a wide variety of groups.",Premise,20,"[CLS] in the first place, humans are a part of the society, and the society includes a wide variety of groups.",24,24,0
823,"this hormone can delight one's mind, creating positive feelings.",Premise,9,"[CLS] this hormone can delight one's mind, creating positive feelings.",14,14,0
824,"some professors don't deserve the money at all, then, what's the point to spend money on them?",None,17,"[CLS] some professors don't deserve the money at all, then, what's the point to spend money on them?",25,25,2
825,"for example, two days ago, i went to a canadian restaurant, and i ate noodle, sushi, which are chinese foods, and greek salad.",Premise,23,"[CLS] for example, two days ago, i went to a canadian restaurant, and i ate noodle, sushi, which are chinese foods, and greek salad.",33,33,0
826,"however, only under specific circumstance, when students master all of the systematic knowledge, can they accomplish research.",Premise,17,"[CLS] however, only under specific circumstance, when students master all of the systematic knowledge, can they accomplish research.",22,22,0
827,"compared to other hobbies such as going to theater or going to sports stadium, it is a very cost-effective hobby that gives viewer quiet a few indirect experiences.",None,28,"[CLS] compared to other hobbies such as going to theater or going to sports stadium, it is a very cost-effective hobby that gives viewer quiet a few indirect experiences.",34,34,2
828,"in order to build city and factory, people destroy huge forests.",Premise,11,"[CLS] in order to build city and factory, people destroy huge forests.",14,14,0
829,implementing the statue and right of equal education are believed as a sustainable policy that should be held.,None,18,[CLS] implementing the statue and right of equal education are believed as a sustainable policy that should be held.,20,20,2
830,this helps them to enjoy their work life while building up very strong personal relationships.,Premise,15,[CLS] this helps them to enjoy their work life while building up very strong personal relationships.,17,17,0
831,"hence, thanks to the information her new friends has provided; now she is more confidence about her future adult life.",Premise,20,"[CLS] hence, thanks to the information her new friends has provided; now she is more confidence about her future adult life.",24,24,0
832,"just like a man that needs a healthy body, all the living creatures as a whole needs a strong planet as well.",Premise,22,"[CLS] just like a man that needs a healthy body, all the living creatures as a whole needs a strong planet as well.",25,25,0
833,"however, people should concern more about their living environment than job.",Claim,11,"[CLS] however, people should concern more about their living environment than job.",14,14,1
834,"the city where i was born used to be of a great antique beauty, which was surrounded with by lots of ancient style buildings.",None,24,"[CLS] the city where i was born used to be of a great antique beauty, which was surrounded with by lots of ancient style buildings.",27,27,2
835,"besides, pupils often have a tangible competence in order that they can get the highest grade in a group.",Premise,19,"[CLS] besides, pupils often have a tangible competence in order that they can get the highest grade in a group.",22,22,0
836,"firstly, people are now able to overcome long distances in a short amount of time, which leads to numerous advantages.",Premise,20,"[CLS] firstly, people are now able to overcome long distances in a short amount of time, which leads to numerous advantages.",24,24,0
837,"some people may disinform you on purpose, that's why it is rather unwise to make conclusions before you are confident of the information.",Premise,23,"[CLS] some people may disinform you on purpose, that's why it is rather unwise to make conclusions before you are confident of the information.",31,31,0
838,"for example, in biology class, learning anatomy by operating fog have many benefits.",Premise,13,"[CLS] for example, in biology class, learning anatomy by operating fog have many benefits.",17,17,0
839,"furthermore, japan is working to build a working space solar power system by 2030.",Premise,14,"[CLS] furthermore, japan is working to build a working space solar power system by 2030.",18,18,0
840,only those who sympathize with their fellowman can prosper in the long run.,Claim,13,[CLS] only those who sympathize with their fellowman can prosper in the long run.,20,20,1
841,how can anyone expect children could do well at school if they have those abnormal behaviors?,None,16,[CLS] how can anyone expect children could do well at school if they have those abnormal behaviors?,18,18,2
842,"unfortunately, some male chauvinists think that women are incapable in particular fields, like maths, mechanical engineering, defense etc.",Claim,18,"[CLS] unfortunately, some male chauvinists think that women are incapable in particular fields, like maths, mechanical engineering, defense etc.",28,28,1
843,this truly makes me more competitive than my colleagues.,Premise,9,[CLS] this truly makes me more competitive than my colleagues.,11,11,0
844,"as far as i am concerned, i agree with that children should be forbidden in watching television or movies excessively.",MajorClaim,20,"[CLS] as far as i am concerned, i agree with that children should be forbidden in watching television or movies excessively.",24,24,3
845,they can easily understand the language structure and memorize the vocabularies.,Premise,11,[CLS] they can easily understand the language structure and memorize the vocabularies.,17,17,0
846,the only language that i could talk to make friends is english language.,Premise,13,[CLS] the only language that i could talk to make friends is english language.,15,15,0
847,"of course, new technologies are always great.",Claim,7,"[CLS] of course, new technologies are always great.",10,10,1
848,"however, despite the advantages of small town life, i prefer to live in a big city for several reasons.",MajorClaim,19,"[CLS] however, despite the advantages of small town life, i prefer to live in a big city for several reasons.",23,23,3
849,"in these games, children are rewarded to help their characters to kill or shoot monsters or characters controlled by other players, and this many lead to development of aggressive feelings, thoughts and behaviors.",Premise,33,"[CLS] in these games, children are rewarded to help their characters to kill or shoot monsters or characters controlled by other players, and this many lead to development of aggressive feelings, thoughts and behaviors.",38,38,0
850,"in this way, hardly can professors find assistants to help with projects.",Premise,12,"[CLS] in this way, hardly can professors find assistants to help with projects.",15,15,0
851,views differ considerably when it comes to the issue of whether having broad knowledge of many academic subjects is better than specializing in one specific subject.,None,26,[CLS] views differ considerably when it comes to the issue of whether having broad knowledge of many academic subjects is better than specializing in one specific subject.,28,28,2
852,"in conclusion, there is to say that, given the arguments above, living a slower life is advantageous for your health, your happiness and even the quality of your work.",MajorClaim,29,"[CLS] in conclusion, there is to say that, given the arguments above, living a slower life is advantageous for your health, your happiness and even the quality of your work.",36,36,3
853,"in conclusion, the zoo not only saves animals in danger of extinction, but also helps people around the world have better lives.",Claim,22,"[CLS] in conclusion, the zoo not only saves animals in danger of extinction, but also helps people around the world have better lives.",26,26,1
854,"this is because people may be impressed by the cultural values brought with the universal language, eroding a sense of national belong.",Premise,22,"[CLS] this is because people may be impressed by the cultural values brought with the universal language, eroding a sense of national belong.",27,27,0
855,overcoming problems teaches the students how to be more mature and self-independence.,Premise,12,[CLS] overcoming problems teaches the students how to be more mature and self-independence.,16,16,0
856,"for example, i could improve the way that i solve problems, improve how i take care of my health, and improve to plan my life for future.",Premise,27,"[CLS] for example, i could improve the way that i solve problems, improve how i take care of my health, and improve to plan my life for future.",32,32,0
857,"if teachers pay attention to specific students, their work might not finish on time, and this might make many student miss some field in topics that they should know.",Premise,29,"[CLS] if teachers pay attention to specific students, their work might not finish on time, and this might make many student miss some field in topics that they should know.",33,33,0
858,i highly prefer living in a big city to living in countryside.,MajorClaim,12,[CLS] i highly prefer living in a big city to living in countryside.,14,14,3
859,"nowadays, the variety of communication systems used widely.",None,8,"[CLS] nowadays, the variety of communication systems used widely.",11,11,2
860,nowadays news media have become more and more popular.,None,9,[CLS] nowadays news media have become more and more popular.,11,11,2
861,"in china, some residents who live in nearby some toxic factories became sick because these factories release a lot of toxic water and wasters into environment around people.",Premise,28,"[CLS] in china, some residents who live in nearby some toxic factories became sick because these factories release a lot of toxic water and wasters into environment around people.",32,32,0
862,"i believe that with the help of our family, we can achieve success quite easily.",MajorClaim,15,"[CLS] i believe that with the help of our family, we can achieve success quite easily.",18,18,3
863,"first, in my view spending too much money for equipping the gyms or constructing football/basketball courts are really not necessary to encourage students to do sports.",Claim,26,"[CLS] first, in my view spending too much money for equipping the gyms or constructing football/basketball courts are really not necessary to encourage students to do sports.",34,34,1
864,"on the other hand, i suppose the developed countries should support the underdeveloped areas by providing financial resources, technologies and experience so that the environmental problems can be effectively alleviated in these areas.",None,33,"[CLS] on the other hand, i suppose the developed countries should support the underdeveloped areas by providing financial resources, technologies and experience so that the environmental problems can be effectively alleviated in these areas.",41,41,2
865,"even when we managed to keep up with the pace by neglecting the details of a project and only aim for a general frame of the project, this will not be something satisfy for the company and clients.",Claim,38,"[CLS] even when we managed to keep up with the pace by neglecting the details of a project and only aim for a general frame of the project, this will not be something satisfy for the company and clients.",42,42,1
866,"i believe public museums and art galleries will still be necessary, even though we can see the art works and historical objects online.",Claim,23,"[CLS] i believe public museums and art galleries will still be necessary, even though we can see the art works and historical objects online.",26,26,1
867,"by watching tv, children can develop skills in extra-curriculum activities.",Claim,10,"[CLS] by watching tv, children can develop skills in extra-curriculum activities.",15,15,1
868,some people state that high schools should allow students to study what they want to.,None,15,[CLS] some people state that high schools should allow students to study what they want to.,17,17,2
869,"that is to say, students have a better environment to working on their assignments so the quality of their assignments will improve.",Premise,22,"[CLS] that is to say, students have a better environment to working on their assignments so the quality of their assignments will improve.",25,25,0
870,the same reason why they succeed is that they all have the predominated abilities in sports realm.,Premise,17,[CLS] the same reason why they succeed is that they all have the predominated abilities in sports realm.,21,21,0
871,"thus, museums can help us know the history and the customs of a new place.",Claim,15,"[CLS] thus, museums can help us know the history and the customs of a new place.",18,18,1
872,the provision of direct airlines makes it possible for them to travel conveniently and comfortably.,Premise,15,[CLS] the provision of direct airlines makes it possible for them to travel conveniently and comfortably.,18,18,0
873,"moreover, they contend that good television programs do teach students.",Premise,10,"[CLS] moreover, they contend that good television programs do teach students.",13,13,0
874,the other reason is that great success requires taking great risks.,Claim,11,[CLS] the other reason is that great success requires taking great risks.,13,13,1
875,"it's neither to get a translated version of these articles, nor to always have a translator besides.",Premise,17,"[CLS] it's neither to get a translated version of these articles, nor to always have a translator besides.",22,22,0
876,"however, in my opinion, this is a rather immodest way of thinking.",Premise,12,"[CLS] however, in my opinion, this is a rather immodest way of thinking.",19,19,0
877,learning in classroom could provide more information to study.,Premise,9,[CLS] learning in classroom could provide more information to study.,11,11,0
878,she will just read my e-mail instead of listening to my voice which can make her annoyed.,Premise,17,[CLS] she will just read my e-mail instead of listening to my voice which can make her annoyed.,21,21,0
879,"since i was all alone at home for a long time, my dog was near me and it seemed to me that only him could understand my deeply feelings.",Premise,29,"[CLS] since i was all alone at home for a long time, my dog was near me and it seemed to me that only him could understand my deeply feelings.",32,32,0
880,"computer technology is a growing job in most of the countries, and students are being encouraged to study in this field.",Premise,21,"[CLS] computer technology is a growing job in most of the countries, and students are being encouraged to study in this field.",24,24,0
881,"since having these products shows their status, the quality obviously is not relatively important.",Premise,14,"[CLS] since having these products shows their status, the quality obviously is not relatively important.",17,17,0
882,"otherwise, the violent crime rate will rise continuously and out of control someday.",None,13,"[CLS] otherwise, the violent crime rate will rise continuously and out of control someday.",16,16,2
883,"firstly, the reason why university students should not be required to attend class is sometimes the students in the university can learn better from other sources outside the class room.",Claim,30,"[CLS] firstly, the reason why university students should not be required to attend class is sometimes the students in the university can learn better from other sources outside the class room.",33,33,1
884,arts include many forms and music as well as cinema are the most typical.,Premise,14,[CLS] arts include many forms and music as well as cinema are the most typical.,16,16,0
885,"for example, my father's best moments in his life are in his school years.",Premise,14,"[CLS] for example, my father's best moments in his life are in his school years.",19,19,0
886,"to sum up, not only could investing in art be considered as wasting money at any kind, but also it would enriches the culture of the society and governments and individuals would benefit from it in multiple ways.",Claim,38,"[CLS] to sum up, not only could investing in art be considered as wasting money at any kind, but also it would enriches the culture of the society and governments and individuals would benefit from it in multiple ways.",44,44,1
887,this experience change me to concern about making plan for my future life.,Premise,13,[CLS] this experience change me to concern about making plan for my future life.,15,15,0
888,"not only because there is no machine for the work, but also it looks more beautiful when it is made by hand, so resulting in greater value economy.",Premise,28,"[CLS] not only because there is no machine for the work, but also it looks more beautiful when it is made by hand, so resulting in greater value economy.",32,32,0
889,"first of all, as i mentioned above students should have a right to choose what they want to study.",Claim,19,"[CLS] first of all, as i mentioned above students should have a right to choose what they want to study.",22,22,1
890,many animals today are in danger of extinction owing to various reasons.,None,12,[CLS] many animals today are in danger of extinction owing to various reasons.,14,14,2
891,"if people don't use air conditioners, automobiles and other such things that technology has brought us, then naturally there would be less pollution and natural resources like fossil fuels would be saved and all this would save the environment.",Premise,39,"[CLS] if people don't use air conditioners, automobiles and other such things that technology has brought us, then naturally there would be less pollution and natural resources like fossil fuels would be saved and all this would save the environment.",46,46,0
892,"she asked me to stay with her till my parents come, also she was great in hospitality and her behavior was unforgettable.",Premise,22,"[CLS] she asked me to stay with her till my parents come, also she was great in hospitality and her behavior was unforgettable.",28,28,0
893,they are not reachable by children who live in the mountains or islands.,Premise,13,[CLS] they are not reachable by children who live in the mountains or islands.,16,16,0
894,"nevertheless, i assert that the best way of diminishing stress is by exercises, which can benefit everyone not only physically but also mentally.",MajorClaim,23,"[CLS] nevertheless, i assert that the best way of diminishing stress is by exercises, which can benefit everyone not only physically but also mentally.",29,29,3
895,"secondly, in the area of education, it is generally agreed that poorer countries often lack of teachers in schools as well as lecturers in higher education institutions.",Premise,27,"[CLS] secondly, in the area of education, it is generally agreed that poorer countries often lack of teachers in schools as well as lecturers in higher education institutions.",32,32,0
896,"however, in order to gain intrinsic motivation students need to become aware of their strengths and aims.",Premise,17,"[CLS] however, in order to gain intrinsic motivation students need to become aware of their strengths and aims.",20,20,0
897,"finally, some people make the television a priority.",Claim,8,"[CLS] finally, some people make the television a priority.",11,11,1
898,it is no secret that advertising become inseparable part of our modern life.,None,13,[CLS] it is no secret that advertising become inseparable part of our modern life.,17,17,2
899,"for example, when the aircraft mh 370 went missing, everyone wanted to know the details about this tragic incident.",Premise,19,"[CLS] for example, when the aircraft mh 370 went missing, everyone wanted to know the details about this tragic incident.",24,24,0
900,a successful corporation must have a relationship with respect and pleasure.,Premise,11,[CLS] a successful corporation must have a relationship with respect and pleasure.,13,13,0
901,"in conclusion, while there some people live in a pretty good condition, it is only a minority.",Claim,17,"[CLS] in conclusion, while there some people live in a pretty good condition, it is only a minority.",21,21,1
902,"since in an apartment you don't have a roommate, you won't have this problem, and as a result you would be able to concentrate better.",Premise,25,"[CLS] since in an apartment you don't have a roommate, you won't have this problem, and as a result you would be able to concentrate better.",33,33,0
903,"however, other people visit museums are the most boring expirience of a trip.",Claim,13,"[CLS] however, other people visit museums are the most boring expirience of a trip.",19,19,1
904,"he do a lot of exercise in football field every day, so it is not for which he is luckier than me.",Premise,22,"[CLS] he do a lot of exercise in football field every day, so it is not for which he is luckier than me.",26,26,0
905,"as long as people are clear about how to maintain a healthy body and they persistently keep track of their eating habits, they can successfully prevent themselves from those temptations.",Premise,30,"[CLS] as long as people are clear about how to maintain a healthy body and they persistently keep track of their eating habits, they can successfully prevent themselves from those temptations.",35,35,0
906,he could not afford the maintenance so he had to sell it.,Premise,12,[CLS] he could not afford the maintenance so he had to sell it.,14,14,0
907,"for this reason, the internship, although without pay, can give them the experiences that money cannot buy.",Premise,17,"[CLS] for this reason, the internship, although without pay, can give them the experiences that money cannot buy.",22,22,0
908,another supporting reason is that television companies import foreign programmes from time to time and audiences might accept their ideas which maybe otherwise not welcomed to local culture.,Claim,28,[CLS] another supporting reason is that television companies import foreign programmes from time to time and audiences might accept their ideas which maybe otherwise not welcomed to local culture.,30,30,1
909,"no one can argue the importance to include health lessons in school programmes, especially at primary level, in the hope of raising people's awareness.",Claim,24,"[CLS] no one can argue the importance to include health lessons in school programmes, especially at primary level, in the hope of raising people's awareness.",30,30,1
910,"i think limiting the number of people who can be admitted by universities is a good choice since it will reward the motivation of students and constantly keep them in the difficult level of learning, which makes them do the best to improve themselves.",Premise,44,"[CLS] i think limiting the number of people who can be admitted by universities is a good choice since it will reward the motivation of students and constantly keep them in the difficult level of learning, which makes them do the best to improve themselves.",47,47,0
911,"with those arguments in mind, i would conclude that people should, especially for ones lacking basic aesthetic knowledge, care more about fashion trends in lives as they can keep pace with the world's changes.",MajorClaim,34,"[CLS] with those arguments in mind, i would conclude that people should, especially for ones lacking basic aesthetic knowledge, care more about fashion trends in lives as they can keep pace with the world's changes.",41,41,3
912,"if the chinese immigrants had followed the local customs and assimilated into indonesia, they would not have been regards as a group of chinese and discrimination might have been alleviated.",Premise,30,"[CLS] if the chinese immigrants had followed the local customs and assimilated into indonesia, they would not have been regards as a group of chinese and discrimination might have been alleviated.",36,36,0
913,"""the biggest risk is not taking any risk.""",None,8,"[CLS] ""the biggest risk is not taking any risk.""",12,12,2
914,"moreover, with the modern technology, students can collect more information from different sources.",Claim,13,"[CLS] moreover, with the modern technology, students can collect more information from different sources.",17,17,1
915,"secondly, students who take on a part time job are often more confident and independent than other ones.",Claim,18,"[CLS] secondly, students who take on a part time job are often more confident and independent than other ones.",21,21,1
916,"i'm a research asistant at a university, and as any of the univesity in ours we have a professor who isn't good at human relationships, most of the asistans don't enjoy to talk with him about any situation, although we have to ask about his field.",Premise,46,"[CLS] i'm a research asistant at a university, and as any of the univesity in ours we have a professor who isn't good at human relationships, most of the asistans don't enjoy to talk with him about any situation, although we have to ask about his field.",63,63,0
917,"while if the same words are expressed in talking, the counterparty will feel more relaxed since their response will not be recorded and they will not misunderstand the informal discussion to an official claim.",Premise,34,"[CLS] while if the same words are expressed in talking, the counterparty will feel more relaxed since their response will not be recorded and they will not misunderstand the informal discussion to an official claim.",40,40,0
918,"not only that, when they are in a university, they will have the opportunity to share their knowledge as well as to network for business associates and partners.",Premise,28,"[CLS] not only that, when they are in a university, they will have the opportunity to share their knowledge as well as to network for business associates and partners.",32,32,0
919,a person can not learn or achieve everything by oneself.,Premise,10,[CLS] a person can not learn or achieve everything by oneself.,12,12,0
920,"therefore, these subjects might fulfil the students' ability.",Claim,8,"[CLS] therefore, these subjects might fulfil the students' ability.",14,14,1
921,"first of all, some people claim that athletes and singers deserve their current salary because they have an exceptional ability that other people do not own.",Claim,26,"[CLS] first of all, some people claim that athletes and singers deserve their current salary because they have an exceptional ability that other people do not own.",29,29,1
922,"this has gotten worse with twitter, myspace, and facebook.",Premise,9,"[CLS] this has gotten worse with twitter, myspace, and facebook.",13,13,0
923,"today, even some disabled people with serious vertebral injuries can start doing physical activities like walking again thanks to the continuingly efforts of biomechanical engineers and neurologists.",Premise,27,"[CLS] today, even some disabled people with serious vertebral injuries can start doing physical activities like walking again thanks to the continuingly efforts of biomechanical engineers and neurologists.",39,39,0
924,"firstly, capital punishment is a form of revenge which creates violent culture.",Premise,12,"[CLS] firstly, capital punishment is a form of revenge which creates violent culture.",15,15,0
925,in my opinion universities should invest in libraries more than anywhere else.,MajorClaim,12,[CLS] in my opinion universities should invest in libraries more than anywhere else.,14,14,3
926,sometimes we will not know what we have done until we have a taste of our own medicine.,Premise,18,[CLS] sometimes we will not know what we have done until we have a taste of our own medicine.,20,20,0
927,"for example, there are various advertisements here an there, whether on the leaflets or on the big screen showing things of all sorts in commercial zones.",Premise,26,"[CLS] for example, there are various advertisements here an there, whether on the leaflets or on the big screen showing things of all sorts in commercial zones.",30,30,0
928,"therefore, i highly discourage the young ones to be overly dependent on mobile phones.",None,14,"[CLS] therefore, i highly discourage the young ones to be overly dependent on mobile phones.",17,17,2
929,"in conclusion, i totally disagree with this statement that teachers should be paid by how much their students learn because teacher could not pay attention to each students in class.",Claim,30,"[CLS] in conclusion, i totally disagree with this statement that teachers should be paid by how much their students learn because teacher could not pay attention to each students in class.",33,33,1
930,entertaining movies are created to amuse people.,Premise,7,[CLS] entertaining movies are created to amuse people.,10,10,0
931,university is the place that provides people knowledge and skills to use in their real life.,None,16,[CLS] university is the place that provides people knowledge and skills to use in their real life.,18,18,2
932,"on the other hand, the fact of knowing a man's utilization of his money remains in the dark.",Premise,18,"[CLS] on the other hand, the fact of knowing a man's utilization of his money remains in the dark.",23,23,0
933,"this factor will lead them to be successful in their lives ahead, but will also restrict them in many ways.",Premise,20,"[CLS] this factor will lead them to be successful in their lives ahead, but will also restrict them in many ways.",23,23,0
934,do you think they have built by chance?,None,8,[CLS] do you think they have built by chance?,10,10,2
935,"furthermore, the increasing development of tourism is a boon to travelers as well.",Claim,13,"[CLS] furthermore, the increasing development of tourism is a boon to travelers as well.",16,16,1
936,it helps to raise issues and criticize the wrong doings of the governments.,Premise,13,[CLS] it helps to raise issues and criticize the wrong doings of the governments.,17,17,0
937,"also, this improvement will decrease a bad traffic on the road indirectly.",Claim,12,"[CLS] also, this improvement will decrease a bad traffic on the road indirectly.",15,15,1
938,there are many interesting programs on television which anyone can enjoy at little cost.,None,14,[CLS] there are many interesting programs on television which anyone can enjoy at little cost.,16,16,2
939,"thus, people are able to strengthen their knowledge.",Premise,8,"[CLS] thus, people are able to strengthen their knowledge.",11,11,0
940,children have a high potential to imitate what adults do because they have really high curiosity towards something.,Premise,18,[CLS] children have a high potential to imitate what adults do because they have really high curiosity towards something.,21,21,0
941,"take chemistry for example, merely memorizing the names of the substances and the structural formulas seems to be very boring, while representing where and how those chemical reactions really happen near students will raise their curiosity and lead them to digest those theories learned from the class.",Premise,47,"[CLS] take chemistry for example, merely memorizing the names of the substances and the structural formulas seems to be very boring, while representing where and how those chemical reactions really happen near students will raise their curiosity and lead them to digest those theories learned from the class.",53,53,0
942,"therefore, evaluating from students could improve teachers' performance.",Claim,8,"[CLS] therefore, evaluating from students could improve teachers' performance.",12,12,1
