,ProcessedText,InformationType_coarse,ProcessedText_length,ProcessedText_BERT,ProcessedText_BERTbase_length,ProcessedText_BERTlarge_length,InformationType_label
1223,"i strongly disagree with this affirmation because i believe zoos provide social interaction, education, and develop qualities such as animal respect and understanding.",MajorClaim,23,"[CLS] i strongly disagree with this affirmation because i believe zoos provide social interaction, education, and develop qualities such as animal respect and understanding.",30,30,3
1224,but they slowly tune their technique and learned to walk.,Premise,10,[CLS] but they slowly tune their technique and learned to walk.,12,12,0
1225,"thus, the rate of crime and violence is effectively decreased.",Claim,10,"[CLS] thus, the rate of crime and violence is effectively decreased.",13,13,1
1226,it is undoubted that a good recommendation letter is extraordinary important in this competitive society.,Premise,15,[CLS] it is undoubted that a good recommendation letter is extraordinary important in this competitive society.,19,19,0
1227,"this not only affects the endangered animals, but also the humans because we are affected by the increasing sea level and the climatic changes.",Premise,24,"[CLS] this not only affects the endangered animals, but also the humans because we are affected by the increasing sea level and the climatic changes.",27,27,0
1228,"indeed, if people in society have a strong bond with each other, society will become a peaceful place, where people are helping and sharing to each other.",Premise,27,"[CLS] indeed, if people in society have a strong bond with each other, society will become a peaceful place, where people are helping and sharing to each other.",32,32,0
1229,this will increase the social connections of the students.,Premise,9,[CLS] this will increase the social connections of the students.,11,11,0
1230,"honestly, i was in shock!",None,5,"[CLS] honestly, i was in shock!",8,8,2
1231,"for example, some movie starts enjoy wearing luxury brand clothes and showing their expensive life style in front of the media, thereby gaining the public attention.",Premise,26,"[CLS] for example, some movie starts enjoy wearing luxury brand clothes and showing their expensive life style in front of the media, thereby gaining the public attention.",30,30,0
1232,"thanks to the considerate care, the diversity of wild animal could be guaranteed.",Premise,13,"[CLS] thanks to the considerate care, the diversity of wild animal could be guaranteed.",17,17,0
1233,exam task should be varied to give fair opportunities to candidates with different types of skills.,Premise,16,[CLS] exam task should be varied to give fair opportunities to candidates with different types of skills.,18,18,0
1234,"although technologies allowed us to have a convenient life, it has made our lives more chaotic according to the reasons mentioned above.",Claim,22,"[CLS] although technologies allowed us to have a convenient life, it has made our lives more chaotic according to the reasons mentioned above.",25,25,1
1235,many students prefer to live in the university dormitories while others prefer an apartment in the city.,None,17,[CLS] many students prefer to live in the university dormitories while others prefer an apartment in the city.,21,21,2
1236,"in my viewpoint, our body and moral health depend to physical activities directly.",Premise,13,"[CLS] in my viewpoint, our body and moral health depend to physical activities directly.",16,16,0
1237,"people who cannot afford to pay their tuition benefit from the scholarship, financial aids, and other funds.",Premise,17,"[CLS] people who cannot afford to pay their tuition benefit from the scholarship, financial aids, and other funds.",21,21,0
1238,"the condition of job market changes enormously fast like a flash, so that there is no way to predict any job can be popular for 30 years or more.",Premise,29,"[CLS] the condition of job market changes enormously fast like a flash, so that there is no way to predict any job can be popular for 30 years or more.",33,33,0
1239,people learn in different ways and what teaching method do you prefer?,None,12,[CLS] people learn in different ways and what teaching method do you prefer?,14,14,2
1240,"while in a dormitory you have to obey preset rules, in the apartment you set your own rules.",Premise,18,"[CLS] while in a dormitory you have to obey preset rules, in the apartment you set your own rules.",22,22,0
1241,"third, some parents are afraid that the part-time job will effect student' study.",Claim,13,"[CLS] third, some parents are afraid that the part-time job will effect student' study.",19,19,1
1242,"considering this fact, advertisements have undeniable affects on the society about the product being advertised.",Premise,15,"[CLS] considering this fact, advertisements have undeniable affects on the society about the product being advertised.",20,20,0
1243,"consequently, it would affect all taxpayers whether or not they benefit from the use of the funds.",Premise,17,"[CLS] consequently, it would affect all taxpayers whether or not they benefit from the use of the funds.",20,20,0
1244,the main purpose of such competitions is to enjoy and share emotions between supporters though their favorite team.,Premise,18,[CLS] the main purpose of such competitions is to enjoy and share emotions between supporters though their favorite team.,20,20,0
1245,"in other words, i think the best way of communication is by means of face-to-face.",MajorClaim,15,"[CLS] in other words, i think the best way of communication is by means of face-to-face.",22,22,3
1246,this make students have healthier life which online class cannot provide.,Premise,11,[CLS] this make students have healthier life which online class cannot provide.,14,14,0
1247,finally i got 1st rank in final exam.,Premise,8,[CLS] finally i got 1st rank in final exam.,10,10,0
1248,"for example, i read about saving money for my retire is a good plan for my life.",Premise,17,"[CLS] for example, i read about saving money for my retire is a good plan for my life.",20,20,0
1249,computer-a device which has given a whole new dimension to the human life.,None,13,[CLS] computer-a device which has given a whole new dimension to the human life.,17,17,2
1250,"what's more, people who experienced lots of difficulties will be calmer when they are in troubles.",Claim,16,"[CLS] what's more, people who experienced lots of difficulties will be calmer when they are in troubles.",22,22,1
1251,i believe that decreasing the number of patients in the health system can lead hospitals and healthcare centers to be managed effectively which will result in better treatments for current patients.,Premise,31,[CLS] i believe that decreasing the number of patients in the health system can lead hospitals and healthcare centers to be managed effectively which will result in better treatments for current patients.,33,33,0
1252,"afterward, my uncle acquired a new service thanks to face-to face communication.",Premise,12,"[CLS] afterward, my uncle acquired a new service thanks to face-to face communication.",17,17,0
1253,"furthermore, the teachers play important role in leading us to right direction.",Premise,12,"[CLS] furthermore, the teachers play important role in leading us to right direction.",15,15,0
1254,"in conclusion, while there some people live in a pretty good condition, it is only a minority.",Claim,17,"[CLS] in conclusion, while there some people live in a pretty good condition, it is only a minority.",21,21,1
1255,"additionally, it might put strain on the environment.",Premise,8,"[CLS] additionally, it might put strain on the environment.",11,11,0
1256,"they are the ones that teach, and will teach us to be self-esteem and experienced, which means their preservation throughout history deserve our attention.",Claim,24,"[CLS] they are the ones that teach, and will teach us to be self-esteem and experienced, which means their preservation throughout history deserve our attention.",30,30,1
1257,"furthermore, stress takes a toll on our health.",Premise,8,"[CLS] furthermore, stress takes a toll on our health.",11,11,0
1258,living with a roommate made socializing much easier for me.,Premise,10,[CLS] living with a roommate made socializing much easier for me.,13,13,0
1259,i don't think that technology can replace teachers and classroom.,MajorClaim,10,[CLS] i don't think that technology can replace teachers and classroom.,14,14,3
1260,"instead of using many private cars, people can use public transportation, such as bus, train, subway, each one can get far more people and less oil and gasoline are used up per person.",Premise,33,"[CLS] instead of using many private cars, people can use public transportation, such as bus, train, subway, each one can get far more people and less oil and gasoline are used up per person.",40,40,0
1261,"a solid group can be a suited environment, which provides people to improve themselves or broaden their horizons.",Premise,18,"[CLS] a solid group can be a suited environment, which provides people to improve themselves or broaden their horizons.",22,22,0
1262,"with the tremendous development in information technology, long-distance education enables people to study at home without going to school.",None,19,"[CLS] with the tremendous development in information technology, long-distance education enables people to study at home without going to school.",24,24,2
1263,"as one chinese idiom goes: ""the good medicine tastes bitter.",Premise,10,"[CLS] as one chinese idiom goes: ""the good medicine tastes bitter.",15,15,0
1264,"besides, water pollution makes people's health become more critical.",Premise,9,"[CLS] besides, water pollution makes people's health become more critical.",14,14,0
1265,"since, some students may get used to simply rewriting solved problems from the blackboard, so they will never try to solve problems on their own.",Premise,25,"[CLS] since, some students may get used to simply rewriting solved problems from the blackboard, so they will never try to solve problems on their own.",31,31,0
1266,the question whether our government should make an effort to preserve them by investing more money on that minority languages or not is still a debatable one.,None,27,[CLS] the question whether our government should make an effort to preserve them by investing more money on that minority languages or not is still a debatable one.,31,31,2
1267,"however, others argue that they are just animals and aren't able to think like us.",None,15,"[CLS] however, others argue that they are just animals and aren't able to think like us.",20,20,2
1268,"for instance, further enforcement banned smoking in capital in sri lanka has reduced this consumption related diseases and deaths, as per the ministry of health.",Premise,25,"[CLS] for instance, further enforcement banned smoking in capital in sri lanka has reduced this consumption related diseases and deaths, as per the ministry of health.",29,29,0
1269,"thus, physical inactivity should not be encouraged for the aim of bettering youngsters' skills.",MajorClaim,14,"[CLS] thus, physical inactivity should not be encouraged for the aim of bettering youngsters' skills.",22,22,3
1270,"in addition, will the university filter all the professors overall?",None,10,"[CLS] in addition, will the university filter all the professors overall?",13,13,2
1271,every employee can not afford this kind of loss.,Premise,9,[CLS] every employee can not afford this kind of loss.,11,11,0
1272,"hence, staying longer with parents is a better choice.",MajorClaim,9,"[CLS] hence, staying longer with parents is a better choice.",12,12,3
1273,"because it can not only benefit our employers, but also ourselves will be rewarded.",Claim,14,"[CLS] because it can not only benefit our employers, but also ourselves will be rewarded.",17,17,1
1274,"to sum up, new technology has affected cultures of the world, and we can see many similarities in many cultures.",MajorClaim,20,"[CLS] to sum up, new technology has affected cultures of the world, and we can see many similarities in many cultures.",24,24,3
1275,"in my view, it is good for a teenager to do a part time job while he/she is still a student and this is for two reasons.",MajorClaim,27,"[CLS] in my view, it is good for a teenager to do a part time job while he/she is still a student and this is for two reasons.",32,32,3
1276,the job selection criteria are pre decided.,Premise,7,[CLS] the job selection criteria are pre decided.,9,9,0
1277,this problem occurs especially if the lecturer is lethargic.,Premise,9,[CLS] this problem occurs especially if the lecturer is lethargic.,13,13,0
1278,"many governments believe that space exploration is an activity that wastes the budget, while the essential challenge of humanity in the future would be the discovery of a new place for the living.",Premise,33,"[CLS] many governments believe that space exploration is an activity that wastes the budget, while the essential challenge of humanity in the future would be the discovery of a new place for the living.",37,37,0
1279,there are a lot of people eating foods or snacks when they are watching television.,Claim,15,[CLS] there are a lot of people eating foods or snacks when they are watching television.,17,17,1
1280,i have several reasons to believe its disadvantages outnumber the few advantages.,None,12,[CLS] i have several reasons to believe its disadvantages outnumber the few advantages.,17,17,2
1281,"even if we ignore this result, by the same token, you can get higher position and more money.",Premise,18,"[CLS] even if we ignore this result, by the same token, you can get higher position and more money.",22,22,0
1282,"second, from an economic point of view, people often argue that an apartment is more expensive.",Claim,16,"[CLS] second, from an economic point of view, people often argue that an apartment is more expensive.",20,20,1
1283,"so obviously, they will think about develop long term career with their company.",Premise,13,"[CLS] so obviously, they will think about develop long term career with their company.",16,16,0
1284,some people argue that companies by advertising their goods or services spend their money for nothing.,None,16,[CLS] some people argue that companies by advertising their goods or services spend their money for nothing.,18,18,2
1285,"however, one day i wanted to be off early because i had to take my mother to the doctor.",Premise,19,"[CLS] however, one day i wanted to be off early because i had to take my mother to the doctor.",22,22,0
1286,"advanced fertilizers and machine for farmers, good or bad?",None,9,"[CLS] advanced fertilizers and machine for farmers, good or bad?",15,15,2
1287,"thus, if they deal more with facts, they can realize social situations effectively and so improve their social communication in everyday life.",Premise,22,"[CLS] thus, if they deal more with facts, they can realize social situations effectively and so improve their social communication in everyday life.",26,26,0
1288,"to keep their jobs, children will have to try their best to finish their duties.",Premise,15,"[CLS] to keep their jobs, children will have to try their best to finish their duties.",18,18,0
1289,"in contrast, some test-takers perform cannot achieve a satisfying result because of anxiety.",Premise,13,"[CLS] in contrast, some test-takers perform cannot achieve a satisfying result because of anxiety.",19,19,0
1290,"in conclusion, i believe demerits of watching tv outweigh its merits and thus if students were allowed to freely watch tv without any proper controls by parents or teachers then it would produce more negative effects on children.",MajorClaim,38,"[CLS] in conclusion, i believe demerits of watching tv outweigh its merits and thus if students were allowed to freely watch tv without any proper controls by parents or teachers then it would produce more negative effects on children.",45,45,3
1291,"but rare people have been aware that this has contributed to a modification of cooking habits, which may cause the loss of our custom and culture about cooking.",Premise,28,"[CLS] but rare people have been aware that this has contributed to a modification of cooking habits, which may cause the loss of our custom and culture about cooking.",31,31,0
1292,"i am the kind of person who has only one or two close friends, and i am fully content that i have such nice friends.",None,25,"[CLS] i am the kind of person who has only one or two close friends, and i am fully content that i have such nice friends.",28,28,2
1293,"nowadays, we can talk with our friends online, no matter where we are and how far between us.",Premise,18,"[CLS] nowadays, we can talk with our friends online, no matter where we are and how far between us.",22,22,0
1294,"thus, i could talk with my friend without worrying about speaking wrong.",Premise,12,"[CLS] thus, i could talk with my friend without worrying about speaking wrong.",15,15,0
1295,"in my opinion, advertising is the major reason for high sales of a product for several reasons.",MajorClaim,17,"[CLS] in my opinion, advertising is the major reason for high sales of a product for several reasons.",20,20,3
1296,"therefore, instead of interfering children's creativity, technology actually encourages children to learn and to create.",Claim,15,"[CLS] therefore, instead of interfering children's creativity, technology actually encourages children to learn and to create.",21,21,1
1297,the former can also give consultation on setting up a complete and efficient transportation infrastructure to support trading.,Premise,18,[CLS] the former can also give consultation on setting up a complete and efficient transportation infrastructure to support trading.,20,20,0
1298,"inevitably, the zoo is the important place for innate learning.",Premise,10,"[CLS] inevitably, the zoo is the important place for innate learning.",13,13,0
1299,"for one, it helps working people to maintain work life balance.",Premise,11,"[CLS] for one, it helps working people to maintain work life balance.",14,14,0
1300,"of course living in a city is more expensive, but incomes are higher too.",Premise,14,"[CLS] of course living in a city is more expensive, but incomes are higher too.",17,17,0
1301,"so, for example you prepare for toefl or other multiple-choice test which has four option to choose in every question.",Premise,20,"[CLS] so, for example you prepare for toefl or other multiple-choice test which has four option to choose in every question.",26,26,0
1302,"what's worse, it has been proved that living in this kind of condition will result in some mental diseases.",Premise,19,"[CLS] what's worse, it has been proved that living in this kind of condition will result in some mental diseases.",24,24,0
1303,they usually try to mimic what they see on movies in their daily behaviors.,Premise,14,[CLS] they usually try to mimic what they see on movies in their daily behaviors.,16,16,0
1304,"therefore it is recommended that young people should be educated not to follow these celebrities blindly, rather they should focus on their career so that they may hope for a bright future.",None,32,"[CLS] therefore it is recommended that young people should be educated not to follow these celebrities blindly, rather they should focus on their career so that they may hope for a bright future.",35,35,2
1305,health education causes long-term positive effects on our next generations.,Claim,10,[CLS] health education causes long-term positive effects on our next generations.,14,14,1
1306,"however, what if one finally find out him or her has the talent in other filed.",Premise,16,"[CLS] however, what if one finally find out him or her has the talent in other filed.",19,19,0
1307,"you cannot prepare for it without any study and rely on your luck, even if you be a very lucky.",Premise,20,"[CLS] you cannot prepare for it without any study and rely on your luck, even if you be a very lucky.",23,23,0
1308,once a celebrity said: a man's manner is a mirror that reflects his virtues.,None,14,[CLS] once a celebrity said: a man's manner is a mirror that reflects his virtues.,19,19,2
1309,"a way to do meditation is that i just sit down, close my eyes, and count my breath.",Premise,18,"[CLS] a way to do meditation is that i just sit down, close my eyes, and count my breath.",22,22,0
1310,another reason why artists should be helped is because talent in art is extremely precious and should not be wasted.,Claim,20,[CLS] another reason why artists should be helped is because talent in art is extremely precious and should not be wasted.,22,22,1
1311,our world has varied cultures and each culture has its own language.,None,12,[CLS] our world has varied cultures and each culture has its own language.,14,14,2
1312,children from poorer families are more successful in the future life.,None,11,[CLS] children from poorer families are more successful in the future life.,13,13,2
1313,"when it comes to the question whether classmates or colleagues should work on projects in person or by email, i am of the view that wok in person is preferred because this means help to achieve a good communication.",Claim,39,"[CLS] when it comes to the question whether classmates or colleagues should work on projects in person or by email, i am of the view that wok in person is preferred because this means help to achieve a good communication.",43,43,1
1314,"to be precise, for instance, a fortune is spent on trimming the trees, watering the flowers, preserving and balancing the local fauna and flora, in the hope of beautifying the wild.",Premise,31,"[CLS] to be precise, for instance, a fortune is spent on trimming the trees, watering the flowers, preserving and balancing the local fauna and flora, in the hope of beautifying the wild.",41,41,0
1315,"therefore, it is no doubt that they play roles as a mother and as a wife better.",Claim,17,"[CLS] therefore, it is no doubt that they play roles as a mother and as a wife better.",20,20,1
1316,"while some of the problems are the engineering department's part, i went there and discussed with the colleagues there, since i have studied some of the engineering courses.",Premise,28,"[CLS] while some of the problems are the engineering department's part, i went there and discussed with the colleagues there, since i have studied some of the engineering courses.",34,34,0
1317,"in my viewpoint, concerns and anxieties are very destructive in everybody's life.",Premise,12,"[CLS] in my viewpoint, concerns and anxieties are very destructive in everybody's life.",19,19,0
1318,"i don't want to disavow the role of luck in success, but as you know it hardly accompany us.",Premise,19,"[CLS] i don't want to disavow the role of luck in success, but as you know it hardly accompany us.",27,27,0
1319,"personally, i prefer to see good people get rewarded.",None,9,"[CLS] personally, i prefer to see good people get rewarded.",12,12,2
1320,"second, such high salaries can also guarantee and support the athlete's great performances.",Claim,13,"[CLS] second, such high salaries can also guarantee and support the athlete's great performances.",18,18,1
1321,"admittedly, art, to some extent, serve a valuable function about enriching one's daily lives, for example, it could bring release one's heavy burden of study pressure and refresh human bodies through a hard day from work.",Claim,36,"[CLS] admittedly, art, to some extent, serve a valuable function about enriching one's daily lives, for example, it could bring release one's heavy burden of study pressure and refresh human bodies through a hard day from work.",51,51,1
1322,"moreover, rehabilitation and education is also a better way in order to prevent or minimize offensive acts.",Premise,17,"[CLS] moreover, rehabilitation and education is also a better way in order to prevent or minimize offensive acts.",20,20,0
1323,"clearly, better learning is one of noticeable result of these competences and encouragements.",Premise,13,"[CLS] clearly, better learning is one of noticeable result of these competences and encouragements.",18,18,0
1324,"moreover, they can stick with the routine and make the daily physical activities a good habit on their whole life.",Premise,20,"[CLS] moreover, they can stick with the routine and make the daily physical activities a good habit on their whole life.",23,23,0
1325,"some people choose to live alone for privacy, while others choose to live with a roommate for practical reasons.",None,19,"[CLS] some people choose to live alone for privacy, while others choose to live with a roommate for practical reasons.",22,22,2
1326,a full time job with a steady income was enough for a potential employee to support himself and his family.,Premise,20,[CLS] a full time job with a steady income was enough for a potential employee to support himself and his family.,22,22,0
1327,being friendly is a good way to treat a acquaintance but way not enough for a friend.,Premise,17,[CLS] being friendly is a good way to treat a acquaintance but way not enough for a friend.,19,19,0
1328,"meanwhile, due to the fact that traditional skills rely little on fossil energy, it is more environmentally-friendly, which should be promoted to reduce the threat of climate change.",Premise,28,"[CLS] meanwhile, due to the fact that traditional skills rely little on fossil energy, it is more environmentally-friendly, which should be promoted to reduce the threat of climate change.",35,35,0
1329,"first, if all the story end up in the same way, it will be boring.",Premise,15,"[CLS] first, if all the story end up in the same way, it will be boring.",19,19,0
1330,this is actually very environmentally unfriendly.,Premise,6,[CLS] this is actually very environmentally unfriendly.,11,11,0
1331,"also, people are most creative when they were children, children imagine new things and games just to have fun and be happy.",Claim,22,"[CLS] also, people are most creative when they were children, children imagine new things and games just to have fun and be happy.",26,26,1
1332,"also, when there is a dinner with friends, some people do not have a fluid conversation because the television is again in between them.",Premise,24,"[CLS] also, when there is a dinner with friends, some people do not have a fluid conversation because the television is again in between them.",28,28,0
1333,"although technology takes convenience to humankind, it also contributes to unhealthy behaviors of life, like sedentary lifestyle.",Premise,17,"[CLS] although technology takes convenience to humankind, it also contributes to unhealthy behaviors of life, like sedentary lifestyle.",27,27,0
1334,"furthermore, historic buildings make our lives more colorful, provide places for citizens to relax bodies and minds.",Claim,17,"[CLS] furthermore, historic buildings make our lives more colorful, provide places for citizens to relax bodies and minds.",21,21,1
1335,"for this point, they all think that the very nature and wildness are all brought into zoos and spending time there help us to forget all stress as well as pressure.",Premise,31,"[CLS] for this point, they all think that the very nature and wildness are all brought into zoos and spending time there help us to forget all stress as well as pressure.",36,36,0
1336,"it caused they were swept away by virtual atmosphere, so they do not do much social live interactions with others.",Premise,20,"[CLS] it caused they were swept away by virtual atmosphere, so they do not do much social live interactions with others.",23,23,0
1337,"take cambodia for example, a large number of visitors coming to visit the angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores.",Premise,26,"[CLS] take cambodia for example, a large number of visitors coming to visit the angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores.",35,35,0
1338,"the modern times have witnessed profound changes in most aspects of life, including the revolution of feminism.",None,17,"[CLS] the modern times have witnessed profound changes in most aspects of life, including the revolution of feminism.",20,20,2
1339,"in a word, the parents can save money, if their children live with them longer.",Claim,15,"[CLS] in a word, the parents can save money, if their children live with them longer.",19,19,1
1340,"therefore, choosing a job similar to one's parents' is not always a correct decision.",Claim,14,"[CLS] therefore, choosing a job similar to one's parents' is not always a correct decision.",20,20,1
1341,some students and retirees may work there in order to whiling away their free time and earning money.,Premise,18,[CLS] some students and retirees may work there in order to whiling away their free time and earning money.,23,23,0
1342,"further, government should motivate and encourage the people to use alternative sources such as the solar and the nuclear energy.",None,20,"[CLS] further, government should motivate and encourage the people to use alternative sources such as the solar and the nuclear energy.",25,25,2
1343,"i, for one, strongly agree that age should be set as a criterion for people to retire at the aforementioned age due to several reasons that i shall discuss below.",MajorClaim,30,"[CLS] i, for one, strongly agree that age should be set as a criterion for people to retire at the aforementioned age due to several reasons that i shall discuss below.",34,34,3
1344,"in conclusion, a friend is a person you care about.",Claim,10,"[CLS] in conclusion, a friend is a person you care about.",13,13,1
1345,"for example, after many years of teaching experience, teacher are able to know how to help children to develop important life skills such as learning personal boundaries, facing future problems and learning important conflict resolution skills.",Premise,36,"[CLS] for example, after many years of teaching experience, teacher are able to know how to help children to develop important life skills such as learning personal boundaries, facing future problems and learning important conflict resolution skills.",41,41,0
1346,"so that, i can have a good health.",Premise,8,"[CLS] so that, i can have a good health.",11,11,0
1347,"consequently, mediocre students are not have a chance to gain these advance knowledge from college and university.",Premise,17,"[CLS] consequently, mediocre students are not have a chance to gain these advance knowledge from college and university.",22,22,0
1348,"in the modern world, computers are used everywhere.",Premise,8,"[CLS] in the modern world, computers are used everywhere.",11,11,0
1349,will newspapers become a thing of the past?,None,8,[CLS] will newspapers become a thing of the past?,10,10,2
1350,"first of all, when students finished their high schools, they are confused about subjects that they are going to choose to study in universities.",Premise,24,"[CLS] first of all, when students finished their high schools, they are confused about subjects that they are going to choose to study in universities.",28,28,0
1351,zoos provide educational information about the lives of different animals to the public.,Premise,13,[CLS] zoos provide educational information about the lives of different animals to the public.,16,16,0
1352,"recent research by scientist also reveals that the youngs are more likely to be attacted by and lose themselves in these computer games, because of their low control ability.",Premise,29,"[CLS] recent research by scientist also reveals that the youngs are more likely to be attacted by and lose themselves in these computer games, because of their low control ability.",35,35,0
1353,"so, i think the government have to spend more money on improving it.",None,13,"[CLS] so, i think the government have to spend more money on improving it.",16,16,2
1354,"""capital punishment or the death penalty is a legal process whereby a person is put to death by the state as a punishment for a crime.""",None,26,"[CLS] ""capital punishment or the death penalty is a legal process whereby a person is put to death by the state as a punishment for a crime.""",30,30,2
1355,it is true that some celebrities tend to show off their images in front of the public.,Premise,17,[CLS] it is true that some celebrities tend to show off their images in front of the public.,19,19,0
1356,this helps them to enjoy their work life while building up very strong personal relationships.,Premise,15,[CLS] this helps them to enjoy their work life while building up very strong personal relationships.,17,17,0
1357,obviously these events gather people and their nationalist pride feeling is increased.,Premise,12,[CLS] obviously these events gather people and their nationalist pride feeling is increased.,14,14,0
1358,"in facts, young people will be happy as their parents, grandparents are healthy.",Premise,13,"[CLS] in facts, young people will be happy as their parents, grandparents are healthy.",17,17,0
1359,"even though local residents benefits from an increasing number of jobs which are provided by those factories, they cannot feel happiness from high-paying job yet because most of them suffer from cancer or other diseases.",Premise,35,"[CLS] even though local residents benefits from an increasing number of jobs which are provided by those factories, they cannot feel happiness from high-paying job yet because most of them suffer from cancer or other diseases.",40,40,0
1360,"as a result, i spent the time of biology class to do my chemistry research and got a+ for both biology and chemistry.",Premise,23,"[CLS] as a result, i spent the time of biology class to do my chemistry research and got a+ for both biology and chemistry.",27,27,0
1361,"whenever i back to home from school, the first thing i would do is turning on the television and sit there for hours.",Premise,23,"[CLS] whenever i back to home from school, the first thing i would do is turning on the television and sit there for hours.",26,26,0
1362,"by way of conclusion, i once again restate my position that the development of technology impacted on the means of communication among people very positively by making it easier and more comfortable.",MajorClaim,32,"[CLS] by way of conclusion, i once again restate my position that the development of technology impacted on the means of communication among people very positively by making it easier and more comfortable.",36,36,3
1363,"to add up, when it comes to knowledge and the acquisition of such, classmates are second to none.",Claim,18,"[CLS] to add up, when it comes to knowledge and the acquisition of such, classmates are second to none.",22,22,1
1364,"with the improvement of medical technology, it is obvious that the life expectancy in many countries has been significantly longer than before, and many serious diseases are under control.",Premise,29,"[CLS] with the improvement of medical technology, it is obvious that the life expectancy in many countries has been significantly longer than before, and many serious diseases are under control.",34,34,0
1365,"i firmly believe that psychopaths, terrorists or any other criminal who lacks empathy for other human lives deserve capital punishment.",MajorClaim,20,"[CLS] i firmly believe that psychopaths, terrorists or any other criminal who lacks empathy for other human lives deserve capital punishment.",25,25,3
1366,"in conclusion, i certainly can say that growing of violence in films have definitely negative effects on youngsters mostly on their study, emotions and behaviors.",MajorClaim,25,"[CLS] in conclusion, i certainly can say that growing of violence in films have definitely negative effects on youngsters mostly on their study, emotions and behaviors.",30,30,3
1367,"when co-operation and healthy competition is followed together, success, achievements, recognition and any goal becomes easier.",None,16,"[CLS] when co-operation and healthy competition is followed together, success, achievements, recognition and any goal becomes easier.",23,23,2
1368,"therefore, some lands should be assigned to industry.",Claim,8,"[CLS] therefore, some lands should be assigned to industry.",11,11,1
1369,i believe parents can lead their children to a more smooth career path.,MajorClaim,13,[CLS] i believe parents can lead their children to a more smooth career path.,15,15,3
1370,"lastly, in school, there are professors that guided you during you had a problem or needed an advice.",Claim,18,"[CLS] lastly, in school, there are professors that guided you during you had a problem or needed an advice.",22,22,1
1371,it contributes in building a new understanding in us of how we see the world.,Premise,15,[CLS] it contributes in building a new understanding in us of how we see the world.,17,17,0
1372,"whenever an international sporting occasion like the football world cup takes place, it attracts millions of people all over the world.",None,21,"[CLS] whenever an international sporting occasion like the football world cup takes place, it attracts millions of people all over the world.",24,24,2
1373,"to illustrate this further, the money can be used to build more amenities for the public or given to the poor so that they can use it to help them earn a living.",Premise,33,"[CLS] to illustrate this further, the money can be used to build more amenities for the public or given to the poor so that they can use it to help them earn a living.",36,36,0
1374,"in today's world, the concept of the welfare state requires governments to provide sustainable healthcare and health education to their citizens.",None,21,"[CLS] in today's world, the concept of the welfare state requires governments to provide sustainable healthcare and health education to their citizens.",26,26,2
1375,"furthermore, students not only gain knowledge but they also have more experience because they will meet new friends and teachers.",Premise,20,"[CLS] furthermore, students not only gain knowledge but they also have more experience because they will meet new friends and teachers.",23,23,0
1376,"in other words, students can procure more advantages from better facilities.",Claim,11,"[CLS] in other words, students can procure more advantages from better facilities.",15,15,1
1377,"for example, in law class, students are informed their rights and duties and they are taught how they can apply law to different situations that might happen upon them.",Premise,29,"[CLS] for example, in law class, students are informed their rights and duties and they are taught how they can apply law to different situations that might happen upon them.",33,33,0
1378,there are many different opinions regarding hobbies.,None,7,[CLS] there are many different opinions regarding hobbies.,10,10,2
1379,studying hard gives children with a plenty of knowledge and skills for their future.,Premise,14,[CLS] studying hard gives children with a plenty of knowledge and skills for their future.,16,16,0
1380,"the buses and trains are more frequent than in the countryside, so the city provides better communication.",Claim,17,"[CLS] the buses and trains are more frequent than in the countryside, so the city provides better communication.",20,20,1
1381,"in addition, i can work long hours for earning more money.",Premise,11,"[CLS] in addition, i can work long hours for earning more money.",14,14,0
1382,"however, the warmth of the materials, the heart pine, marble, or the old brick, all those old buildings features call back of our inner peace.",Premise,25,"[CLS] however, the warmth of the materials, the heart pine, marble, or the old brick, all those old buildings features call back of our inner peace.",32,32,0
1383,"exhaust from transportation, especially cars, and factories' tosix fumes can lead people to face with various respiratory deseases.",Premise,18,"[CLS] exhaust from transportation, especially cars, and factories' tosix fumes can lead people to face with various respiratory deseases.",28,28,0
1384,it is assumed the amazing performances they give to the audiences are only valuable in aesthetic and entertaining terms.,Premise,19,[CLS] it is assumed the amazing performances they give to the audiences are only valuable in aesthetic and entertaining terms.,21,21,0
1385,"search engines such as google, yandex with many features relevant to the characteristics of the information needed enable search of information in few minutes.",Premise,24,"[CLS] search engines such as google, yandex with many features relevant to the characteristics of the information needed enable search of information in few minutes.",29,29,0
1386,"in conclusion, technology has brought many benefits, but traditional skills and ways are always valuable and will last forever.",MajorClaim,19,"[CLS] in conclusion, technology has brought many benefits, but traditional skills and ways are always valuable and will last forever.",23,23,3
1387,"if you spend your spare time at home or something like that, you can't enjoy beautiful nature.",Premise,17,"[CLS] if you spend your spare time at home or something like that, you can't enjoy beautiful nature.",22,22,0
1388,"in conclusion, i disagree with reducing the cost of medicines, which may exacerbate their qualities.",MajorClaim,15,"[CLS] in conclusion, i disagree with reducing the cost of medicines, which may exacerbate their qualities.",22,22,3
1389,"even they have some spare time, they prefer to go out with friends to relax and relieve the pressure from work and study.",Premise,23,"[CLS] even they have some spare time, they prefer to go out with friends to relax and relieve the pressure from work and study.",26,26,0
